model,fold,function_id,rows,improve_prevalence,improve_ap,gain_spearman
BM_definition_oof,0,mabbob_c006,888,0.0,,0.8067107794927941
BM_definition_oof,0,mabbob_c022,972,0.4176954732510288,0.8656572031195681,0.7722390811857368
BM_definition_oof,0,mabbob_c037,942,0.1475583864118896,0.3527287060256784,0.8716712851817706
BM_definition_oof,0,mabbob_c038,862,0.2853828306264501,0.7542121190058549,0.8036557813966675
BM_definition_oof,0,mabbob_c041,898,0.19265033407572382,0.5992177944182387,0.8958590560212666
BM_definition_oof,1,mabbob_c005,972,0.3559670781893004,0.8514231217893111,0.8165076500573207
BM_definition_oof,1,mabbob_c011,964,0.054979253112033194,0.27087249008855563,0.7719679380380973
BM_definition_oof,1,mabbob_c012,1000,0.457,0.8964776972804271,0.8037488515107241
BM_definition_oof,1,mabbob_c015,966,0.422360248447205,0.8141210447625642,0.7885125566949122
BM_definition_oof,1,mabbob_c031,898,0.3062360801781737,0.720952599272664,0.8551533711294068
BM_definition_oof,2,mabbob_c003,922,0.2592190889370933,0.8710104803202775,0.9175908065491124
BM_definition_oof,2,mabbob_c007,940,0.0,,0.48761297285670635
BM_definition_oof,2,mabbob_c019,934,0.512847965738758,0.9647270967514491,0.7796110195692003
BM_definition_oof,2,mabbob_c024,902,0.018847006651884702,0.09121136495418992,0.744736819787365
BM_definition_oof,2,mabbob_c035,1016,0.002952755905511811,0.005024422474089241,0.5294694745858513
BM_definition_oof,3,mabbob_c002,954,0.0010482180293501049,0.02040816326530612,0.03426548295605283
BM_definition_oof,3,mabbob_c008,960,0.0,,-0.2761077347547921
BM_definition_oof,3,mabbob_c013,968,0.17148760330578514,0.7547654841460671,0.7922209120391388
BM_definition_oof,3,mabbob_c017,936,0.0,,
BM_definition_oof,3,mabbob_c042,858,0.30652680652680653,0.7514256864352223,0.7958224585658076
BM_definition_oof,4,mabbob_c001,854,0.0,,0.40104008340726505
BM_definition_oof,4,mabbob_c004,1004,0.10756972111553785,0.318781731448627,0.84064269807429
BM_definition_oof,4,mabbob_c028,888,0.3130630630630631,0.6283778520571984,0.6867881181164719
BM_definition_oof,4,mabbob_c033,966,0.4906832298136646,0.9493977449856317,0.7976813839657775
