prefix_algorithm,candidate_action,rows,improve_prevalence,improve_ap,pearson_pred_vs_true_gain,mean_true_gain
cmaes,pso,8205,0.0,,0.040075269935228704,-3.315755262064103
cmaes,shade,8205,0.007190737355271176,0.02315688492757436,0.08303993960804379,-1.6844069789488134
pso,cmaes,8894,0.2861479649201709,0.3211774888739155,0.10272215876855281,1.543034160857544
pso,shade,8894,0.21194063413537217,0.4049894588706209,0.25213471573346496,0.8899279330443087
shade,cmaes,8370,0.2962962962962963,0.21166279998266335,-0.2051098654124017,1.17781591218374
shade,pso,8370,0.017084826762246118,0.2701235141297259,0.2060200222505658,-2.059577114438708
