model,evaluation_split,macro_f1,balanced_accuracy,improve_average_precision,improve_brier,improve_expected_calibration_error,function_balanced_mean_gain,mean_gain,median_gain,switch_rate,acceptable_policy_rate,mean_normalized_one_switch_regret,run_count,function_balanced_mean_log10_loss,function_balanced_mean_regret,function_balanced_mean_normalized_regret,median_regret,median_normalized_regret,harmful_switch_rate
U_behavior_only,bbob_train_oof,0.5426013368997606,0.5682539568840187,0.2641651630292332,0.14296179110690502,0.10533092128781806,0.8466718648135144,0.8466718648135142,0.0,0.7672839506172839,0.7882716049382716,0.40227115894514587,,,,,,,
P_behavior_prefix,bbob_train_oof,0.5445387851275378,0.5656688666757503,0.27108036878776726,0.14024338057973382,0.10534347416119402,0.9941904820629771,,0.0,0.6975308641975309,0.8049382716049382,,1620.0,-4.1984431405514275,1.2154255267470253,0.291952300760491,0.23597617715981756,0.12774399495314598,0.04424778761061947
P_behavior_prefix,bbob_validation,0.520789550101222,0.5049720645093965,0.3570407947903222,0.15605753409696696,0.08923772905117973,1.4493379980118404,,0.18883318942048444,0.7518518518518519,0.8759259259259259,,540.0,-4.170819596277017,0.7586566161345369,0.23603988552953678,0.3449069270391064,0.18144432065574354,0.0
U_behavior_only,bbob_validation,,,,,,1.4481148274008067,,,,,,,,,0.25614868459020546,,,
