phase,prefix_algorithm,rows,improve_prevalence,improve_ap,mean_true_gain
early,pso,4144,0.3325289575289575,0.3340119727170223,2.129583959175173
early,shade,3925,0.31872611464968154,0.23672934229672918,1.4016827287038218
mid,pso,4750,0.24568421052631578,0.30908713106488905,1.031315768388438
mid,shade,4445,0.2764904386951631,0.18741000372857392,0.9801382395535215
