prefix_algorithm,candidate_action,rows,improve_prevalence,improve_ap,mean_true_gain
cmaes,pso,8205,0.0,,-3.315755262064103
cmaes,shade,8205,0.007190737355271176,0.06536141193822294,-1.6844069789488134
pso,cmaes,8894,0.2861479649201709,0.3400872489842225,1.543034160857544
pso,shade,8894,0.21194063413537217,0.41289644306824863,0.8899279330443087
shade,cmaes,8370,0.2962962962962963,0.20916573501707433,1.17781591218374
shade,pso,8370,0.017084826762246118,0.25879228820777617,-2.059577114438708
