label,feature,positive_rate,auc_high_value_risk,auc_low_value_risk,mean_value_risk,mean_value_safe
harmful_H0,predicted_selected_switch_gain,0.1667517374062586,0.8175160735345413,0.1824839264654587,2.528567715724034,0.612085179167098
harmful_H0,top1_top2_loss_margin,0.1667517374062586,0.7262161827569771,0.273783817243023,1.891643729307135,1.23073177214031
harmful_H0,tree_argmin_disagreement,0.1667517374062586,0.33122177946094955,0.6687782205390504,0.03171415116552861,0.1022912543586844
harmful_H0,selected_action_tree_std,0.1667517374062586,0.4950910927007809,0.504908907299219,2.1194028549516197,2.093084344591211
harmful_H0,tree_argmin_vote_entropy,0.1667517374062586,0.3279137183365943,0.6720862816634057,0.1631198436174347,0.3863881873976081
harmful_H50,predicted_selected_switch_gain,0.13726491028308924,0.8051350284169224,0.1948649715830777,2.5200183516065864,0.6789475539865973
harmful_H50,top1_top2_loss_margin,0.13726491028308924,0.7486896884370572,0.2513103115629427,1.9795607017952366,1.2393326524941022
harmful_H50,tree_argmin_disagreement,0.13726491028308924,0.3093812033303614,0.6906187966696385,0.025996853546910753,0.10078869521685706
harmful_H50,selected_action_tree_std,0.13726491028308924,0.5038871035921868,0.4961128964078132,2.1531790973447307,2.0886099195183654
harmful_H50,tree_argmin_vote_entropy,0.13726491028308924,0.3062426716020629,0.6937573283979371,0.14107425488008116,0.38226480197217133
harmful_H95,predicted_selected_switch_gain,0.03254937374847854,0.6252840419532217,0.37471595804677826,1.580066035865423,0.9098467539460913
harmful_H95,top1_top2_loss_margin,0.03254937374847854,0.7014599129760468,0.2985400870239532,1.580066035865423,1.3328947176540835
harmful_H95,tree_argmin_disagreement,0.03254937374847854,0.15075210901884606,0.8492478909811539,0.0041978287092883,0.09342674512987012
harmful_H95,selected_action_tree_std,0.03254937374847854,0.3515016233766234,0.6484983766233766,1.7092743848993674,2.1105337427277857
harmful_H95,tree_argmin_vote_entropy,0.03254937374847854,0.1502277916594865,0.8497722083405136,0.028602748090998133,0.359942711470286
missed_helpful_switch_gt_delta95,predicted_selected_switch_gain,0.005496878558247281,0.2357969126297919,0.7642030873702081,-0.5531106992885634,0.9398686982851486
missed_helpful_switch_gt_delta95,top1_top2_loss_margin,0.005496878558247281,0.2733298364945884,0.7266701635054116,0.6406581402091226,1.3448106299932796
missed_helpful_switch_gt_delta95,tree_argmin_disagreement,0.005496878558247281,0.7814862128672385,0.21851378713276143,0.4107142857142857,0.08875261557898063
missed_helpful_switch_gt_delta95,selected_action_tree_std,0.005496878558247281,0.4844855981004269,0.5155144018995732,2.2848495690374104,2.0964373226826556
missed_helpful_switch_gt_delta95,tree_argmin_vote_entropy,0.005496878558247281,0.7627026897458025,0.23729731025419765,0.8555601943086466,0.3463587848549913
