margin_decile,harmful
0,0.07341970946211229
1,0.0989399293286219
2,0.04436592069100903
3,0.020416175893207697
4,0.020808794660384766
5,0.016496465043205028
6,0.00745975657636435
7,0.006674519042010208
8,0.0015704750687082843
9,0.0007852375343541421
