suite,current_algorithm,FE,states,strict_any_alt_gt_zero_rate,practical_switch_required_rate,mean_best_alt_gain,median_best_alt_gain,mean_A_ND_size
bbob,cso,2000,150,0.5466666666666666,0.3466666666666667,-0.07115366931690678,0.010491344527786078,1.9466666666666668
bbob,cso,4000,150,0.52,0.28,0.02915400132383733,3.625026722131608e-07,2.4066666666666667
bbob,cso,6000,150,0.5533333333333333,0.16,0.05915205363642204,0.00010209401417238251,2.74
bbob,lshade,2000,150,0.4266666666666667,0.32,0.004542511915228084,-0.03102666987256797,1.3733333333333333
bbob,lshade,4000,150,0.26666666666666666,0.15333333333333332,-0.13397282746891842,-0.07642954717388428,1.5466666666666666
bbob,lshade,6000,150,0.46,0.2866666666666667,0.14423187871867596,0.0,1.9
bbob,shade,2000,150,0.56,0.38,0.06318356161547053,0.018620311603424977,1.66
bbob,shade,4000,150,0.3933333333333333,0.24,-0.1552369966306022,-0.02805459917828631,1.5933333333333333
bbob,shade,6000,150,0.26,0.15333333333333332,-0.1595290950840651,-0.05147515811300161,1.7266666666666666
mabbob,cso,2000,60,0.65,0.35,0.067087267265909,0.029988324276131576,1.85
mabbob,cso,4000,60,0.65,0.25,0.04364216613117205,0.017610943096794555,2.4
mabbob,cso,6000,60,0.75,0.15,0.04986757154970745,0.006624030459132402,2.6666666666666665
mabbob,lshade,2000,60,0.5666666666666667,0.4666666666666667,0.15072935785072622,0.09481032288104188,1.3833333333333333
mabbob,lshade,4000,60,0.26666666666666666,0.13333333333333333,-0.1418878352002391,-0.06495495268132795,1.5333333333333334
mabbob,lshade,6000,60,0.45,0.2833333333333333,0.004101385241239704,0.0,1.75
mabbob,shade,2000,60,0.65,0.48333333333333334,0.2988134135362888,0.10356441768572076,1.5
mabbob,shade,4000,60,0.3333333333333333,0.2,-0.09665598854224462,-0.06196425967151073,1.4666666666666666
mabbob,shade,6000,60,0.11666666666666667,0.06666666666666667,-0.1989341575378574,-0.13896085440641937,1.4833333333333334
