carrier,suite,W0,W1,W2,delta_W0_minus_W2,delta_W0_minus_W1
rf,bbob,-1.6572603857439956,-1.676759653310397,-1.6760351861606102,0.018774800416614612,0.019499267566401413
rf,mabbob,-4.585871036803462,-4.600309729691864,-4.601962114934925,0.016091078131463377,0.014438692888401938
ridge,bbob,-1.6572603857439956,-1.6530834200944347,-1.6530834200944347,-0.0041769656495609375,-0.0041769656495609375
ridge,mabbob,-4.585871036803462,-4.597759925401603,-4.597759925401603,0.011888888598141634,0.011888888598141634
