lf_y_mean,lf_y_std,lf_y_skew,lf_y_kurtosis,lf_y_q10,lf_y_q50,lf_y_q90,lf_linear_r2,lf_quadratic_r2,lf_quadratic_gain_over_linear,lf_model_residual_rel,lf_design_condition,lf_linear_r2_change,lf_quadratic_r2_change,lf_information_transition_entropy,lf_information_sign_change_rate,lf_information_ruggedness,lf_local_fdc,lf_elite_dispersion_ratio,lf_elite_dispersion_shift,lf_nbc_mean_distance,lf_nbc_distance_cv,lf_nbc_cluster_proxy
0.21916118111826802,0.23641406210371838,0.2011935363245289,0.20117185537530569,0.1804655231035379,0.0676719518884396,0.1961881290518573,0.18841128968957163,0.25239621546399565,-0.185677034191455,-0.25203185296701724,0.4205404989126518,-0.0164248542797229,-0.10737901736000978,-0.03485160707963939,0.11662293801076498,-0.13156455304778059,0.03378917989098116,-0.4311162097291955,0.21467419971621304,-0.40969615356520084,0.39329364762005636,0.21381745011121434
-0.26884101962943724,-0.29974726783926525,-0.11154371147823897,-0.10264600557751442,0.05149935488189069,0.10869735473985603,-0.2543284645094794,0.008694886180525593,-0.21183583067798753,0.02577089166208123,0.21162126880280294,-0.07504446827563822,0.01780595126720707,0.19278797851096233,0.07048712981628588,-0.13122200269076612,0.15083793405355003,0.19133304936465012,0.04439586194891676,-0.28413798381862093,0.059598032441276115,-0.05545106221754503,-0.07895580273725201
0.33232507999799615,0.3069101173128966,0.14721959601615914,0.12762808748711807,0.41719534387844576,0.33893416832947354,0.3220014355838172,0.32992457459970015,0.37670880286380515,-0.26956271982184205,-0.3769629462714829,0.30146173695047346,0.029541975818374422,-0.02178348454050656,0.1260179830859034,0.09881284592606919,-0.0980893142683367,0.16397688232460175,-0.40909304614789066,-0.1086090738326511,-0.3618885908158768,0.39879333457199984,0.29956356011767027
-0.6353927431788846,-0.6077708588053998,-0.19019206650200743,-0.1677089948866295,-0.6795453058842628,-0.5201231988725282,-0.6336211789227812,-0.6421626561528335,-0.7600860092666136,0.5736577829514772,0.7599460986305728,-0.6954806377131136,-0.053675025132590266,0.1253906542667693,-0.02441938113563072,-0.04569934900297821,0.07104294892286962,-0.5569082701899302,0.8787170594266653,-0.31489826119202413,0.8029137318999949,-0.925078138694483,-0.8087029425965722
-0.34870897501758474,-0.29694768374457325,0.05370683339754565,0.0658239365364037,-0.6066178759302571,-0.4707069321279813,-0.371092064789278,-0.338702003903402,-0.441210168551571,0.28628060282306633,0.4413622397612558,-0.2583167856366562,-0.12489477019109885,-0.07795679274125786,-0.04516176508610075,0.05258133608407713,-0.03431551065004851,-0.38563338154201193,0.5559817707718633,0.031884041564386144,0.32614181685864485,-0.49016751690126203,-0.43178538251923615
0.2720030837099154,0.27240215918743604,0.30541862270190695,0.30152211211285496,0.2322867475824887,0.24732822878894187,0.2505824911287003,0.3074206674800564,0.28852917912038334,-0.2571620077646294,-0.28831641352867277,0.34027545076190485,0.0058483761428915395,-0.04202778080430962,0.04612902684282682,0.16439506235739706,-0.16900763500040486,0.01868316806021023,-0.2246851467291547,-0.041070431905636605,-0.3251349315417899,0.2971844537474902,0.2251232914505751
0.3839450456434765,0.329943061952853,-0.046512502220074504,-0.059807654401306115,0.6213176330440048,0.5049697398259235,0.40754281951273774,0.37948701014209013,0.485941216451489,-0.32397990058406767,-0.4860658924288715,0.2973338946243029,0.11200937828702828,0.05715248348108238,0.03274612252014201,-0.05160993686897508,0.03120769440891522,0.43314541822635344,-0.615117126064071,-0.008912565444253744,-0.37891288677848173,0.5527470798496418,0.4859708186875871
-0.2525041251810891,-0.23195827034445698,-0.1472911842069135,-0.13355478617354236,-0.3496387087857375,-0.2928017968431818,-0.2432806921644838,-0.2637586367232491,-0.2856511160851891,0.1963172532315287,0.28595333970595993,-0.2255332047902986,-0.043615962732439686,-0.013004259848167207,-0.11052807250701344,-0.08029215846309039,0.06577791404890962,-0.14602870125109868,0.32432287017989936,0.15283812574576466,0.27843882003694154,-0.30587339915888756,-0.22822523959192006
0.4007987381282245,0.3445006952241698,-0.04580219000522878,-0.05947334602299613,0.6380821118997028,0.5262163214182769,0.4262100149608043,0.3889859249730184,0.5045381317800438,-0.3288491768279305,-0.5046420515459451,0.29574997416372734,0.1153173454810541,0.05538017234684193,0.039110449757861265,-0.05161471216538038,0.029319612899050412,0.4396549930655971,-0.6162722177758249,-0.012284935017512174,-0.3784432560179391,0.5616501491718441,0.5057081358040596
-0.8991990127329842,-0.8822061260519061,-0.31854075594704456,-0.28354169736367674,-0.6988999053056392,-0.4696933367011438,-0.8895079114886111,-0.48569592937054107,-0.853793694924196,0.3794599634366698,0.85359809776734,-0.4182268186823038,-0.054332614901617775,0.22675447183814834,-0.013264518533295806,-0.24268900424787823,0.2816335492102424,-0.13461253707296528,0.54727143958173,-0.0951021648005322,0.4605627948421604,-0.5990101756670388,-0.6001192935309204
