check,passed,detail
x_columns_equal_behavior_feature_columns,True,"bf_fe_ratio,bf_improvement_rate_w02,bf_improvement_frequency_w02,bf_diversity_mean_pairwise,bf_diversity_change_w05,bf_covariance_spectral_concentration,bf_distance_decay_w10,bf_stagnation_w10,bf_convergence_rate_w10,bf_fitness_diversity_rel,bf_population_wasserstein_rate_w05,bf_centroid_shift_rate_w05,bf_centroid_shift_coherence_w05,bf_fitness_quantile_improvement_fraction_w02,bf_fitness_distribution_improvement_rate_w02,bf_fitness_wasserstein_rate_w02,bf_elite_concentration,bf_best_fitness_slope_w05,bf_diversity_slope_w05,bf_fitness_spread_slope_w05,bf_population_centroid_shift_w05,bf_elite_centroid_shift_w05,bf_covariance_trace_ratio_w05,bf_covariance_effective_rank_w05,bf_diversity_recovery_w05,bf_population_chamfer_distance_w05,bf_covariance_trace_change_w05,bf_covariance_effective_rank_change_w05,bf_search_maturity,bf_search_maturity_linear,bf_explore_exploit_ratio"
metadata_columns_absent_from_x,True,
target_columns_absent_from_x,True,
forbidden_exact_columns_absent_from_x,True,
forbidden_name_fragments_absent_from_x,True,
