candidate_action,rows,loss_mae,loss_rmse,gain_spearman
cmaes,17264,4.388438742714637,4.966540092861177,-0.25762185817562805
pso,16575,3.3353044491825075,4.348957425383023,0.31727816460843455
shade,17099,4.145562253499776,4.8711346342395165,0.4912273384372875
