model_name,policy,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
lda_classifier__baseline,global_train_utility,64800,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142,1685
lda_classifier__baseline,maturity3_train_utility,64800,0.03776234567901235,0.0043411161418715665,0.5610328332488974,0.31344503473641194,135.5646882817304,1680
lda_classifier__baseline,maturity3_callcap_0.9,64800,0.03760802469135802,0.004353915792742378,0.5610328332488974,0.3147312269183422,134.73527090530186,1670
lda_classifier__baseline,maturity3_callcap_0.8,64800,0.03756172839506173,0.00435589626683988,0.5610328332488974,0.31511914543960556,134.60693618378372,1667
lda_classifier__baseline,maturity3_callcap_0.7,64800,0.037530864197530864,0.004360088080246902,0.5610328332488974,0.31537828947368424,134.33530667500875,1665
lda_classifier__baseline,maturity3_callcap_0.6,64800,0.037515432098765435,0.0043609628346566644,0.5610328332488974,0.3155080213903743,134.2786225892561,1664
lda_classifier__baseline,maturity3_callcap_0.5,64800,0.0375,0.00436190898761009,0.5610328332488974,0.31563786008230454,134.21731187787407,1663
lda_classifier__best_candidate,global_train_utility,64800,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059,1663
lda_classifier__best_candidate,maturity3_train_utility,64800,0.0375,0.004357471504552797,0.5609961317989518,0.31522633744855966,134.47759018840182,1664
lda_classifier__best_candidate,maturity3_callcap_0.9,64800,0.0375,0.004357471504552797,0.5609961317989518,0.31522633744855966,134.47759018840182,1664
lda_classifier__best_candidate,maturity3_callcap_0.8,64800,0.03748456790123457,0.00435823486744559,0.5609961317989518,0.315356113627007,134.42812427294885,1663
lda_classifier__best_candidate,maturity3_callcap_0.7,64800,0.037453703703703704,0.0043610346146282,0.5609896149587004,0.315203955500618,134.24185839208525,1662
lda_classifier__best_candidate,maturity3_callcap_0.6,64800,0.037376543209876545,0.004371952124246397,0.5609739422744133,0.31544178364987613,133.52275836046013,1658
lda_classifier__best_candidate,maturity3_callcap_0.5,64800,0.03734567901234568,0.004371362441730798,0.5608878568933299,0.31528925619834713,133.49700503206105,1657
softmax_logistic_classifier__baseline,global_train_utility,64800,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872,1674
softmax_logistic_classifier__baseline,maturity3_train_utility,64800,0.03712962962962963,0.004226304133660515,0.5497936510051556,0.3104738154613466,134.65336090940943,1659
