model_name,policy,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
lda_classifier__baseline,global_train_utility,64800,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142,1685
lda_classifier__baseline,global_callcap_0.9,64800,0.037654320987654324,0.004345850999572837,0.5610328332488974,0.31434426229508194,135.2578695026881,1673
lda_classifier__baseline,global_callcap_0.8,64800,0.03757716049382716,0.004354896623989522,0.5610328332488974,0.31498973305954825,134.6717130404869,1668
lda_classifier__baseline,global_callcap_0.7,64800,0.037530864197530864,0.004359632508004007,0.5610328332488974,0.31537828947368424,134.36482775634826,1665
lda_classifier__baseline,global_callcap_0.6,64800,0.037515432098765435,0.0043609628346566644,0.5610328332488974,0.3155080213903743,134.2786225892561,1664
lda_classifier__baseline,global_callcap_0.5,64800,0.037515432098765435,0.0043609628346566644,0.5610328332488974,0.3155080213903743,134.2786225892561,1664
lda_classifier__baseline,maturity3_train_utility,64800,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142,1685
lda_classifier__baseline,maturity3_callcap_0.9,64800,0.037654320987654324,0.004345850999572837,0.5610328332488974,0.31434426229508194,135.2578695026881,1673
lda_classifier__baseline,maturity3_callcap_0.8,64800,0.03757716049382716,0.004354896623989522,0.5610328332488974,0.31498973305954825,134.6717130404869,1668
lda_classifier__baseline,maturity3_callcap_0.7,64800,0.037530864197530864,0.004359632508004007,0.5610328332488974,0.31537828947368424,134.36482775634826,1665
lda_classifier__baseline,maturity3_callcap_0.6,64800,0.037515432098765435,0.0043609628346566644,0.5610328332488974,0.3155080213903743,134.2786225892561,1664
lda_classifier__baseline,maturity3_callcap_0.5,64800,0.037515432098765435,0.0043609628346566644,0.5610328332488974,0.3155080213903743,134.2786225892561,1664
lda_classifier__best_candidate,global_train_utility,64800,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059,1663
lda_classifier__best_candidate,global_callcap_0.9,64800,0.03740740740740741,0.004371624421340364,0.5609896149587004,0.3155940594059406,133.555638917137,1659
lda_classifier__best_candidate,global_callcap_0.8,64800,0.03740740740740741,0.004371624421340364,0.5609896149587004,0.3155940594059406,133.555638917137,1659
lda_classifier__best_candidate,global_callcap_0.7,64800,0.037391975308641974,0.004372131837338464,0.5609896149587004,0.31572430870821294,133.52275836046013,1658
lda_classifier__best_candidate,global_callcap_0.6,64800,0.037299382716049385,0.004376515484125872,0.5608257296798502,0.3152668597434837,133.11692497119805,1655
lda_classifier__best_candidate,global_callcap_0.5,64800,0.03720679012345679,0.00433696835644587,0.5573097317807805,0.31439236831190376,133.0670569183105,1653
lda_classifier__best_candidate,maturity3_train_utility,64800,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059,1663
lda_classifier__best_candidate,maturity3_callcap_0.9,64800,0.03740740740740741,0.004371624421340364,0.5609896149587004,0.3155940594059406,133.555638917137,1659
lda_classifier__best_candidate,maturity3_callcap_0.8,64800,0.03740740740740741,0.004371624421340364,0.5609896149587004,0.3155940594059406,133.555638917137,1659
lda_classifier__best_candidate,maturity3_callcap_0.7,64800,0.037391975308641974,0.004372131837338464,0.5609896149587004,0.31572430870821294,133.52275836046013,1658
lda_classifier__best_candidate,maturity3_callcap_0.6,64800,0.037299382716049385,0.004376515484125872,0.5608257296798502,0.3152668597434837,133.11692497119805,1655
lda_classifier__best_candidate,maturity3_callcap_0.5,64800,0.03720679012345679,0.00433696835644587,0.5573097317807805,0.31439236831190376,133.0670569183105,1653
softmax_logistic_classifier__baseline,global_train_utility,64800,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872,1674
