model_name,policy,layer,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
lda_classifier__baseline,global_train_utility,overall,64800,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142,1685
lda_classifier__baseline,global_train_utility,same_algorithm,48240,0.0345771144278607,-0.0027354376505614084,0.02680751347278049,0.017985611510791366,135.5993695118166,1638
lda_classifier__baseline,global_train_utility,dimension_40,21600,0.038009259259259257,-0.003204236154979603,0.3304404576390756,0.11084043848964677,99.03756569421853,730
lda_classifier__baseline,global_train_utility,FE_ratio_025_035,25920,0.042283950617283954,-0.0026505899307581625,0.013103840600185719,0.01551094890510949,70.35067479733388,1079
lda_classifier__baseline,maturity3_train_utility,overall,64800,0.03776234567901235,0.0043411161418715665,0.5610328332488974,0.31344503473641194,135.5646882817304,1680
lda_classifier__baseline,maturity3_train_utility,same_algorithm,48240,0.03449419568822554,-0.0027149348618650078,0.02680751347278049,0.018028846153846152,134.61031498510226,1634
lda_classifier__baseline,maturity3_train_utility,dimension_40,21600,0.03777777777777778,-0.0031578383744578233,0.3304404576390756,0.11151960784313726,98.03537363494809,725
lda_classifier__baseline,maturity3_train_utility,FE_ratio_025_035,25920,0.04216820987654321,-0.002627342158256582,0.013103840600185719,0.01555352241537054,69.7480925340929,1076
lda_classifier__baseline,maturity3_callcap_0.9,overall,64800,0.03760802469135802,0.004353915792742378,0.5610328332488974,0.3147312269183422,134.73527090530186,1670
lda_classifier__baseline,maturity3_callcap_0.9,same_algorithm,48240,0.034328358208955224,-0.002700466280497442,0.02680751347278049,0.018115942028985508,133.91235061993086,1626
lda_classifier__baseline,maturity3_callcap_0.9,dimension_40,21600,0.037592592592592594,-0.00313253822895812,0.3304404576390756,0.11206896551724138,97.4888904921545,721
lda_classifier__baseline,maturity3_callcap_0.9,FE_ratio_025_035,25920,0.041859567901234566,-0.002600414520711389,0.013103840600185719,0.01566820276497696,69.05012816892152,1068
lda_classifier__baseline,maturity3_callcap_0.8,overall,64800,0.03756172839506173,0.00435589626683988,0.5610328332488974,0.31511914543960556,134.60693618378372,1667
lda_classifier__baseline,maturity3_callcap_0.8,same_algorithm,48240,0.03426616915422886,-0.0026978059421575136,0.02680751347278049,0.018148820326678767,133.78401589841272,1623
lda_classifier__baseline,maturity3_callcap_0.8,dimension_40,21600,0.037592592592592594,-0.00313253822895812,0.3304404576390756,0.11206896551724138,97.4888904921545,721
lda_classifier__baseline,maturity3_callcap_0.8,FE_ratio_025_035,25920,0.04182098765432099,-0.0026002358956138763,0.013103840600185719,0.015682656826568265,69.04549820639399,1067
lda_classifier__baseline,maturity3_callcap_0.7,overall,64800,0.037530864197530864,0.004360088080246902,0.5610328332488974,0.31537828947368424,134.33530667500875,1665
lda_classifier__baseline,maturity3_callcap_0.7,same_algorithm,48240,0.03422470978441128,-0.0026921751480286794,0.02680751347278049,0.018170805572380374,133.51238638963775,1621
lda_classifier__baseline,maturity3_callcap_0.7,dimension_40,21600,0.0375,-0.0031199627887370566,0.3304404576390756,0.11234567901234568,97.2172609833795,719
lda_classifier__baseline,maturity3_callcap_0.7,FE_ratio_025_035,25920,0.041743827160493824,-0.0025897563620963233,0.013103840600185719,0.015711645101663587,68.77386869761901,1065
lda_classifier__baseline,maturity3_callcap_0.6,overall,64800,0.037515432098765435,0.0043609628346566644,0.5610328332488974,0.3155080213903743,134.2786225892561,1664
lda_classifier__baseline,maturity3_callcap_0.6,same_algorithm,48240,0.034203980099502485,-0.0026910001047916834,0.02680751347278049,0.01818181818181818,133.4557023038851,1620
lda_classifier__baseline,maturity3_callcap_0.6,dimension_40,21600,0.0375,-0.0031199627887370566,0.3304404576390756,0.11234567901234568,97.2172609833795,719
lda_classifier__baseline,maturity3_callcap_0.6,FE_ratio_025_035,25920,0.04170524691358025,-0.002587569476071915,0.013103840600185719,0.01572617946345976,68.71718461186633,1064
lda_classifier__baseline,maturity3_callcap_0.5,overall,64800,0.0375,0.00436190898761009,0.5610328332488974,0.31563786008230454,134.21731187787407,1663
lda_classifier__baseline,maturity3_callcap_0.5,same_algorithm,48240,0.034203980099502485,-0.0026910001047916834,0.02680751347278049,0.01818181818181818,133.4557023038851,1620
lda_classifier__baseline,maturity3_callcap_0.5,dimension_40,21600,0.0375,-0.0031199627887370566,0.3304404576390756,0.11234567901234568,97.2172609833795,719
lda_classifier__baseline,maturity3_callcap_0.5,FE_ratio_025_035,25920,0.041666666666666664,-0.00258520409368835,0.013103840600185719,0.01574074074074074,68.65587390048432,1063
lda_classifier__best_candidate,global_train_utility,overall,64800,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059,1663
lda_classifier__best_candidate,global_train_utility,same_algorithm,48240,0.034203980099502485,-0.002695316364512492,0.02680751347278049,0.01818181818181818,133.6639186728169,1620
lda_classifier__best_candidate,global_train_utility,dimension_40,21600,0.037453703703703704,-0.00312742126409124,0.33008468202477553,0.1100123609394314,97.34625119601445,720
lda_classifier__best_candidate,global_train_utility,FE_ratio_025_035,25920,0.04162808641975309,-0.0025882606583602975,0.013103840600185719,0.015755329008341055,68.7351000567812,1062
lda_classifier__best_candidate,maturity3_train_utility,overall,64800,0.0375,0.004357471504552797,0.5609961317989518,0.31522633744855966,134.47759018840182,1664
lda_classifier__best_candidate,maturity3_train_utility,same_algorithm,48240,0.03422470978441128,-0.0026963955921575156,0.02680751347278049,0.018170805572380374,133.71598061441284,1621
lda_classifier__best_candidate,maturity3_train_utility,dimension_40,21600,0.03754629629629629,-0.0031358205056390676,0.33013832905322466,0.11097410604192355,97.53251707687805,721
lda_classifier__best_candidate,maturity3_train_utility,FE_ratio_025_035,25920,0.04162808641975309,-0.002583083037246576,0.013103840600185719,0.015755329008341055,68.60089611751356,1062
lda_classifier__best_candidate,maturity3_callcap_0.9,overall,64800,0.0375,0.004357471504552797,0.5609961317989518,0.31522633744855966,134.47759018840182,1664
lda_classifier__best_candidate,maturity3_callcap_0.9,same_algorithm,48240,0.03422470978441128,-0.0026963955921575156,0.02680751347278049,0.018170805572380374,133.71598061441284,1621
lda_classifier__best_candidate,maturity3_callcap_0.9,dimension_40,21600,0.03754629629629629,-0.0031358205056390676,0.33013832905322466,0.11097410604192355,97.53251707687805,721
lda_classifier__best_candidate,maturity3_callcap_0.9,FE_ratio_025_035,25920,0.04162808641975309,-0.002583083037246576,0.013103840600185719,0.015755329008341055,68.60089611751356,1062
lda_classifier__best_candidate,maturity3_callcap_0.8,overall,64800,0.03748456790123457,0.00435823486744559,0.5609961317989518,0.315356113627007,134.42812427294885,1663
