model_name,policy,segment,threshold,penalty
linear_svm_classifier__baseline,maturity3_penalty_1,maturity_low,0.0,1.0
linear_svm_classifier__baseline,maturity3_penalty_1,maturity_mid,0.0,1.0
linear_svm_classifier__baseline,maturity3_penalty_1,maturity_high,0.929903506090854,1.0
linear_svm_classifier__baseline,maturity3_penalty_1.5,maturity_low,0.0,1.5
linear_svm_classifier__baseline,maturity3_penalty_1.5,maturity_mid,0.0,1.5
linear_svm_classifier__baseline,maturity3_penalty_1.5,maturity_high,1.285549287950375,1.5
linear_svm_classifier__baseline,maturity3_penalty_2,maturity_low,0.0,2.0
linear_svm_classifier__baseline,maturity3_penalty_2,maturity_mid,0.0,2.0
linear_svm_classifier__baseline,maturity3_penalty_2,maturity_high,3.17798269650552,2.0
linear_svm_classifier__baseline,maturity3_penalty_3,maturity_low,0.0,3.0
linear_svm_classifier__baseline,maturity3_penalty_3,maturity_mid,0.0,3.0
linear_svm_classifier__baseline,maturity3_penalty_3,maturity_high,3.17798269650552,3.0
linear_svm_classifier__best_candidate,global_penalty_1,all,-0.47638550421615694,1.0
linear_svm_classifier__best_candidate,global_penalty_1.5,all,-0.4075492656044303,1.5
linear_svm_classifier__best_candidate,global_penalty_2,all,0.7019472345012363,2.0
linear_svm_classifier__best_candidate,global_penalty_3,all,0.7019472345012363,3.0
linear_svm_classifier__best_candidate,maturity3_penalty_1,maturity_low,0.0,1.0
linear_svm_classifier__best_candidate,maturity3_penalty_1,maturity_mid,0.0,1.0
linear_svm_classifier__best_candidate,maturity3_penalty_1,maturity_high,-0.47638550421615694,1.0
linear_svm_classifier__best_candidate,maturity3_penalty_1.5,maturity_low,0.0,1.5
linear_svm_classifier__best_candidate,maturity3_penalty_1.5,maturity_mid,0.0,1.5
linear_svm_classifier__best_candidate,maturity3_penalty_1.5,maturity_high,-0.4075492656044303,1.5
linear_svm_classifier__best_candidate,maturity3_penalty_2,maturity_low,0.0,2.0
linear_svm_classifier__best_candidate,maturity3_penalty_2,maturity_mid,0.0,2.0
linear_svm_classifier__best_candidate,maturity3_penalty_2,maturity_high,0.7019472345012363,2.0
linear_svm_classifier__best_candidate,maturity3_penalty_3,maturity_low,0.0,3.0
linear_svm_classifier__best_candidate,maturity3_penalty_3,maturity_mid,0.0,3.0
linear_svm_classifier__best_candidate,maturity3_penalty_3,maturity_high,0.7019472345012363,3.0
