model_name,model_family,objective,eval_split,layer,group,label_source,dimension,FE_ratio,rows,u_gt_zero_rows,u_gt_zero_rate,mean_observed_utility,median_observed_utility,positive_utility_sum,mae,rmse,r2,pearson,spearman,roc_auc_u_gt_zero,average_precision_u_gt_zero,score_mean,score_median,candidate_id,base_model_name,estimator,feature_scheme,role,params_json
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.35,,,0.35,19440,1388,0.07139917695473251,-0.07482964941049443,-0.062069321341436653,257.6511044439708,,,,0.15607504742987727,0.11297793742564807,0.8207961981109966,0.237828086235125,0.06649899511101832,0.02746232567187541,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.4,,,0.4,19440,1376,0.07078189300411522,-0.08176159053440116,-0.06731035034538017,252.55187921031478,,,,0.1400981747297041,0.1177773076294884,0.8256911472387585,0.2311632439693296,0.060290642976700955,0.02309466458602567,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.45,,,0.45,19440,911,0.04686213991769547,-0.09574364894010993,-0.0740343803226563,214.80823720368133,,,,0.10889828263191854,0.00788529319924993,0.8409353741567125,0.20261377609688805,0.05627579156819193,0.01973609880556297,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.5,,,0.5,19440,752,0.03868312757201646,-0.10761678906395437,-0.08153801385084204,216.74610973067038,,,,0.09922862449058917,-0.037378858804727494,0.8396549697382324,0.17817861603398005,0.05436279420245641,0.01812244768768346,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.55,,,0.55,19440,784,0.040329218106995884,-0.12055088341199817,-0.09047622006570433,212.50845114181092,,,,0.07327710850691611,-0.06851033601753616,0.8232349060979453,0.16622303300700927,0.052167078264111474,0.017078416927638312,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.6,,,0.6,19440,624,0.03209876543209877,-0.13902174819174842,-0.10198680721304745,192.65175785948037,,,,0.048122452557405035,-0.09683754641317718,0.8052514124640241,0.11019601180622025,0.05093851980435145,0.01615959188457714,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,all,all,,,,64800,3745,0.05779320987654321,-0.09152940558707323,-0.07597107961327272,743.0385345915533,,,,0.29213689053056086,0.08869290427226452,0.815528571439505,0.17429424829841753,0.08997262348680879,0.02786665622656401,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,label_source,label_source=changed_algorithm,changed_algorithm,,,16560,2549,0.15392512077294687,-0.05116247729341551,-0.06176568779918107,607.1864253523988,,,,0.6458251327202714,0.3636662186027659,0.8808069286142628,0.6195813632597614,0.09334247700684983,0.028592853745501568,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,label_source,label_source=same_algorithm,same_algorithm,,,48240,1196,0.024792703150912105,-0.10538670932967216,-0.08462815497687234,135.85210923915443,,,,0.028770298305067367,0.004256557937585445,0.7672567402209958,0.04727920042346843,0.088815808099332,0.02763115873530462,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,dimension,dimension=10,,10.0,,21600,1470,0.06805555555555555,-0.040708791525251226,-0.036659214049790265,260.3480860696287,,,,0.3427547920104154,0.1439152966500741,0.8256754226777647,0.2018736018344531,0.08655230861203812,0.028133085450514028,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,dimension,dimension=20,,20.0,,21600,1908,0.08833333333333333,-0.05664202206459035,-0.0679457754312032,392.4289080321196,,,,0.49110147287622374,0.2896340463094735,0.8244437875781798,0.27890923497231657,0.08967533226146,0.02714663917713951,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,dimension,dimension=40,,40.0,,21600,367,0.01699074074074074,-0.17723740317137815,-0.16708161511555475,90.26154048980496,,,,0.14908289933293048,0.05721937731839589,0.8067295638081229,0.06967503911915102,0.09369022958692824,0.028387612039939242,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.2,,,0.2,6480,296,0.04567901234567901,-0.07854640971495502,-0.05432046807708305,38.557426800468264,,,,-0.005178910802475514,-0.13250278219256834,0.6633339961889445,0.06166274763151236,0.04503048411754795,0.04519089515549204,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.25,,,0.25,6480,292,0.04506172839506173,-0.08209066348445634,-0.05811985784400571,35.463735190300596,,,,0.037092687694652945,-0.07657545222446425,0.7803653336993386,0.0892008849660964,0.09879387515656897,0.04198810648978938,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.28,,,0.28,6480,274,0.042283950617283954,-0.08549062609263769,-0.060059978976886724,32.16164278161452,,,,0.04184965374385138,-0.08482970559155675,0.7723835657040162,0.0810617271277663,0.09857854702417554,0.03467943838698008,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.3,,,0.3,6480,284,0.043827160493827164,-0.08706332924379373,-0.061481761258876125,31.652929735382077,,,,0.05620393565168409,-0.02690631554047517,0.7659450895170896,0.08066894146390981,0.10967946296638285,0.029187641579943923,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.35,,,0.35,6480,256,0.03950617283950617,-0.09341559547051581,-0.06664570006608084,26.439322897806413,,,,0.05617370865597026,-0.011736694156004816,0.7782788901831619,0.07763477080793015,0.09837572975007045,0.023286472364266633,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.4,,,0.4,6480,800,0.12345679012345678,-0.07290554260108724,-0.07056462486829276,174.15917724891835,,,,0.5068509832553725,0.1547846206376678,0.8519447623239437,0.4269228151628276,0.09528085144528338,0.0215020721305474,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.45,,,0.45,6480,243,0.0375,-0.10186903427734409,-0.07939845101548082,50.56190594132994,,,,0.23186373023566567,-0.017471117590964518,0.8059766784046619,0.09720572119837771,0.09224499302360045,0.01976616375109627,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.5,,,0.5,6480,477,0.07361111111111111,-0.08578559846269349,-0.08202974076197492,151.15391573733473,,,,0.59447175705865,0.07131045278209198,0.8922163656117434,0.5222493230336215,0.08971137688772533,0.018568298617715296,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.55,,,0.55,6480,376,0.05802469135802469,-0.11228594071878435,-0.09215825578698267,79.68497550744864,,,,0.3191928673318831,0.04816082950851422,0.8232328469646691,0.20239181867605957,0.08741495696737944,0.017252412326659784,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_validation,FE_ratio,FE_ratio=0.6,,,0.6,6480,447,0.06898148148148148,-0.11584131580446465,-0.10228898920926656,123.20350275094972,,,,0.4846946367885261,0.08051910675737584,0.8674260248721516,0.35764001004745477,0.08461595752935344,0.01602825645416044,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__best_candidate,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,,,,0.11362941817636897,0.11619648009602432,0.7815679894980121,0.1811130882888713,0.08179038117866812,0.02155628744888475,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,,,,0.23207391706958522,0.23717264886217357,0.8221270654665578,0.3060341489940272,0.10270473192531575,0.022826770355353018,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,label_source,label_source=same_algorithm,same_algorithm,,,120000,3451,0.028758333333333334,-0.10713665760576366,-0.06743423570665175,832.2519217147483,,,,0.00948860475857522,0.0360325747369467,0.6739960475283249,0.05358559356724771,0.06882348371574656,0.021045255674605884,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,dimension,dimension=10,,10.0,,64800,2405,0.037114197530864194,-0.04022633237538057,-0.03715828153278458,308.0180086184804,,,,0.08061170954228522,0.31384463364848303,0.7942062831877722,0.1416292551865732,0.08166246550862494,0.019450949253364873,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
