model_name,model_family,objective,eval_split,layer,group,label_source,dimension,FE_ratio,rows,u_gt_zero_rows,u_gt_zero_rate,mean_observed_utility,median_observed_utility,positive_utility_sum,threshold_mode,threshold,decision_ela_call_rows,decision_ela_call_rate,mean_observed_utility_under_calls,positive_rows_captured,positive_row_capture_rate,utility_capture_rate,precision_u_gt_zero_under_calls,unhelpful_call_rows,unhelpful_call_rate_within_calls,unhelpful_call_cost_sum,decision_utility_sum,decision_mean_utility,always_ela_mean_utility,never_ela_mean_utility,best_observed_action_mean_utility,candidate_id,base_model_name,estimator,feature_scheme,role,params_json
lda_classifier__baseline,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,zero,0.0,194400,1.0,-0.08855738467265091,11921,1.0,1.0,0.06132201646090535,182479,0.9386779835390946,19726.667846501095,-17215.555580363336,-0.08855738467265091,-0.08855738467265091,0.0,0.012917244167375308,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,train_utility,0.4640292684462041,3416,0.01757201646090535,0.017409889653135977,1103,0.09252579481587116,0.10412479844407485,0.32289227166276346,2313,0.6771077283372365,201.99687552692575,59.47218305511251,0.0003059268675674512,-0.08855738467265091,0.0,0.012917244167375308,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,top_05,0.250643046175719,9719,0.049994855967078186,-0.015944399020277323,2594,0.21759919469843134,0.22756146891661633,0.26689988681963167,7125,0.7331001131803684,726.396009974917,-154.96361407807527,-0.0007971379325003872,-0.08855738467265091,0.0,0.012917244167375308,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,top_10,0.1404896787392948,19439,0.09999485596707819,-0.032466191030505485,4305,0.3611274221961245,0.4105170291879015,0.22146200936262153,15134,0.7785379906373785,1661.964634894168,-631.1102874419962,-0.0032464520958950423,-0.08855738467265091,0.0,0.012917244167375308,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,top_20,0.07563254382540906,38879,0.1999948559670782,-0.060215846419325224,6674,0.5598523613790789,0.5945555785791539,0.1716607937446951,32205,0.8283392062553049,3834.127699207691,-2341.131892936946,-0.012042859531568651,-0.08855738467265091,0.0,0.012917244167375308,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,zero,0.0,74400,1.0,-0.05859081542569486,8470,1.0,1.0,0.11384408602150538,65930,0.8861559139784946,6038.01701209471,-4359.1566676716975,-0.05859081542569486,-0.05859081542569486,0.0,0.022565327209986715,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,train_utility,0.4640292684462041,2652,0.03564516129032258,0.041982581543961686,1056,0.12467532467532468,0.1448812107128967,0.39819004524886875,1596,0.6018099547511312,131.8975130632902,111.33780625458638,0.0014964758905186342,-0.05859081542569486,0.0,0.022565327209986715,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,top_05,0.250643046175719,6225,0.08366935483870967,0.02752035714643129,2363,0.27898465171192444,0.2953836515051356,0.3795983935742972,3862,0.6204016064257029,324.59367566630397,171.31422323653476,0.002302610527372779,-0.05859081542569486,0.0,0.022565327209986715,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,top_10,0.1404896787392948,10106,0.13583333333333333,0.029450378165681152,3734,0.44085005903187724,0.5069324651468239,0.36948347516326935,6372,0.6305165248367307,553.4432912932291,297.6255217423736,0.004000343034171689,-0.05859081542569486,0.0,0.022565327209986715,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,top_20,0.07563254382540906,16822,0.2261021505376344,0.003675951582268726,5447,0.6430932703659976,0.6919663990000484,0.32380216383307575,11375,0.6761978361669243,1099.878089437448,61.836857516924454,0.0008311405580231782,-0.05859081542569486,0.0,0.022565327209986715,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=same_algorithm,same_algorithm,,,120000,3451,0.028758333333333334,-0.10713665760576366,-0.06743423570665175,832.2519217147483,zero,0.0,120000,1.0,-0.10713665760576366,3451,1.0,1.0,0.028758333333333334,116549,0.9712416666666667,13688.650834406388,-12856.398912691639,-0.10713665760576366,-0.10713665760576366,0.0,0.006935432680956236,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=same_algorithm,same_algorithm,,,120000,3451,0.028758333333333334,-0.10713665760576366,-0.06743423570665175,832.2519217147483,train_utility,0.4640292684462041,764,0.006366666666666666,-0.06788694136056792,47,0.013619240799768183,0.021908918187408154,0.061518324607329845,717,0.9384816753926701,70.09936246363552,-51.86562319947389,-0.0004322135266622824,-0.10713665760576366,0.0,0.006935432680956236,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=same_algorithm,same_algorithm,,,120000,3451,0.028758333333333334,-0.10713665760576366,-0.06743423570665175,832.2519217147483,top_05,0.250643046175719,3494,0.029116666666666666,-0.09338232321540071,231,0.06693711967545639,0.09074715843058018,0.06611333714939897,3263,0.9338866628506011,401.8023343086131,-326.27783731461005,-0.0027189819776217506,-0.10713665760576366,0.0,0.006935432680956236,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
