candidate_id,base_model_name,model_family,estimator,role,feature_scheme,feature_count,params_json,status,skip_reason,eval_split,rows,feature_fit_seconds,fit_seconds,prediction_seconds,roc_auc_u_gt_zero,average_precision_u_gt_zero,threshold,decision_ela_call_rate,decision_mean_utility,utility_capture_rate,precision_u_gt_zero_under_calls,unhelpful_call_cost_sum
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_auto__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage='auto')",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",completed,,bbob_train,194400,0.326904834000743,0.0583665829981328,0.0018336670036660507,0.7890829034537341,0.18746169517568562,0.6066640521531039,0.012042181069958849,0.00022431392196418454,0.06693764260098316,0.3139683895771038,124.48130897183682
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_auto__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage='auto')",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",completed,,bbob_validation,64800,0.326904834000743,0.0583665829981328,0.0006442910016630776,0.8120264214924077,0.17294123006744086,0.6066640521531039,0.037515432098765435,0.004355642264866989,0.5609896149587004,0.3146853146853147,134.59128265661164
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p1__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.1)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.1, ""solver"": ""lsqr""}",completed,,bbob_train,194400,0.326904834000743,0.03595362499618204,0.0017915830030688085,0.7938711809390394,0.19135771716704708,0.47977264785395385,0.01696502057613169,0.0002475042834701822,0.09479953663553564,0.3126137052759248,189.937446563066
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p1__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.1)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.1, ""solver"": ""lsqr""}",completed,,bbob_validation,64800,0.326904834000743,0.03595362499618204,0.0006500000017695129,0.8125965393324913,0.1718948846066829,0.47977264785395385,0.037654320987654324,0.004344036187781028,0.5610328332488974,0.31434426229508194,135.37546930679733
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p3__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.3)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.3, ""solver"": ""lsqr""}",completed,,bbob_train,194400,0.326904834000743,0.0354038750010659,0.0017893330004881136,0.7868293230155846,0.18567969284011585,0.6298195463032656,0.013343621399176955,0.00021550074099842208,0.0735906400183713,0.3057054741711642,142.9010147729672
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p3__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.3)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.3, ""solver"": ""lsqr""}",completed,,bbob_validation,64800,0.326904834000743,0.0354038750010659,0.0006584580041817389,0.8116425700786974,0.17363036065579968,0.6298195463032656,0.037515432098765435,0.004355642264866989,0.5609896149587004,0.3146853146853147,134.59128265661164
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",completed,,bbob_train,194400,0.326904834000743,0.03547475000232225,0.0018236670002806932,0.7815679894980121,0.1811130882888713,0.8085229551552867,0.009475308641975308,0.00017389423678769976,0.05181393234705409,0.30890336590662326,96.30556144199073
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",completed,,bbob_validation,64800,0.326904834000743,0.03547475000232225,0.0006412910006474704,0.8111388547545009,0.17605513209048512,0.8085229551552867,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p7__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.7)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.7, ""solver"": ""lsqr""}",completed,,bbob_train,194400,0.326904834000743,0.03605699999752687,0.001830833003623411,0.7764234390652429,0.17680726422130127,0.9132760497008499,0.011378600823045268,0.0001604682294841807,0.06100492515869408,0.29792043399638335,121.99519204908799
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p7__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.7)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": 0.7, ""solver"": ""lsqr""}",completed,,bbob_validation,64800,0.326904834000743,0.03605699999752687,0.0006596250022994354,0.8111871029633703,0.17939386006556984,0.9132760497008499,0.0375,0.004354834188147045,0.560946747867814,0.31522633744855966,134.6117941276695
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.03,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.12001279099786188,0.0022674579959129915,0.8043919553896504,0.19511014392804973,0.9172326240639169,0.012016460905349795,0.0002419753016202559,0.07588926134603886,0.3343321917808219,143.52645639919456
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.03,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.12001279099786188,0.0008132500006468035,0.8119739966120854,0.17615979127628834,0.9172326240639169,0.03726851851851852,0.004119189127453949,0.5455379751268944,0.3072463768115942,138.43228214331504
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=0.03,class_weight='balanced',tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": ""balanced""}",completed,,bbob_train,194400,0.326904834000743,0.21584816699760268,0.0013756250045844354,0.8016924067364922,0.19310916567316244,0.9290733881418187,0.010776748971193415,0.0001836038219952611,0.0671808003192562,0.3303102625298329,133.005948734757
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=0.03,class_weight='balanced',tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": ""balanced""}",completed,,bbob_validation,64800,0.326904834000743,0.21584816699760268,0.0004718750060419552,0.8128380252916044,0.17453054109666424,0.9290733881418187,0.03600308641975308,0.003981069173039522,0.5292369546763008,0.30647235319331334,135.27016884141383
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_null__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.03,class_weight=None)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": null, ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.08533049999823561,0.0019236669977544807,0.8028571948308147,0.20217342382181175,0.32231651668510664,0.01412037037037037,0.00022548079530863198,0.08610366492342988,0.3380692167577414,172.38250254064224
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_null__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.03,class_weight=None)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": null, ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.08533049999823561,0.000708334002410993,0.810019852309836,0.16865969853269627,0.32231651668510664,0.036265432098765434,0.0029423023548580504,0.46411858106430687,0.27106382978723403,154.19679775593195
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_null,linear_svm_classifier,linear_svm,"LinearSVC(C=0.03,class_weight=None,tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": null}",completed,,bbob_train,194400,0.326904834000743,0.15420333300426137,0.0015393339999718592,0.8046493303370503,0.20233999674533226,-0.47638550421615694,0.013858024691358025,0.00029419802548328493,0.0857668333025026,0.33296213808463254,158.1780509797561
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p03__class_weight_null,linear_svm_classifier,linear_svm,"LinearSVC(C=0.03,class_weight=None,tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.03, ""class_weight"": null}",completed,,bbob_validation,64800,0.326904834000743,0.15420333300426137,0.0005473749988595955,0.8139822670775841,0.17529080457445853,-0.47638550421615694,0.038287037037037036,0.004230741122249893,0.5596279778139582,0.3067311567916163,141.6731278295249
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.1,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.11769474999891827,0.002395041999989189,0.8043537786911372,0.19534355847878268,0.9179368361420487,0.012078189300411523,0.00024819183700989275,0.07675881427557105,0.3330494037478705,144.50150694685345
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.1,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.11769474999891827,0.0007186250004451722,0.8118672050272254,0.17620095100143404,0.9179368361420487,0.037237654320987655,0.004089659083507772,0.5435198128440202,0.306672192291753,138.8462566457925
